time,magnitude
47211.11,7.6900
47211.11,7.7000
47211.12,7.7100
47211.77,7.71
47212.77,7.73
47213.77,7.73
47214.8,7.73
47216.81,7.75
47218.06,7.7400
47218.07,7.7400
47218.82,7.75
47218.84,7.77
47219.04,7.7500
47219.82,7.77
47221.03,7.7600
47221.04,7.7500
47221.05,7.7700
47222.81,7.79
47223.81,7.8
47227.06,7.8200
47227.07,7.8100
47229.77,7.84
47231.03,7.8400
47231.04,7.8400
47231.05,7.8400
47232.79,7.86
47234.78,7.88
47235.75,7.89
47236.02,7.8800
47236.03,7.8800
47236.04,7.8800
47236.75,7.89
47238.75,7.91
47239.75,7.92
47240.05,7.9400
47240.06,7.9100
47240.07,7.9200
47240.75,7.92
47241.75,7.93
47242.75,7.94
47243.10,7.9400
47243.11,7.9400
47243.75,7.94
47245.04,7.9500
47245.04,7.9600
47245.05,7.9500
47245.75,7.96
47246.74,7.97
47247.74,7.98
47249.00,7.9800
47249.01,7.9700
47249.02,7.9900
47249.74,7.99
47250.74,8
47251.01,8.0000
47251.02,8.0000
47251.04,7.9900
47251.74,8.01
47252.74,8.02
47258.04,8.0600
47258.06,8.0400
47258.76,8.06
47259.73,8.08
47260.86,8.08
47261.73,8.09
47262.73,8.1
47263.73,8.1
47264.76,8.11
47265.00,8.1200
47265.01,8.1100
47265.78,8.12
47266.73,8.13
47267.73,8.14
47268.01,8.1500
47268.02,8.1300
47269.73,8.16
47271.03,8.1500
47271.05,8.1700
47273.73,8.19
47274.73,8.21
47276.00,8.1900
47276.01,8.2100
47276.02,8.2100
47277.74,8.22
47278.83,8.22
47279.87,8.24
47280.74,8.24
47281.73,8.27
47282.73,8.26
47283.73,8.26
47285.72,8.28
47286.01,8.2800
47286.03,8.2900
47286.71,8.31
47287.71,8.3
47288.71,8.31
47289.00,8.3200
47289.01,8.3100
47289.02,8.3100
47289.71,8.32
47290.72,8.34
47291.73,8.35
47296.72,8.39
47297.72,8.4
47298.74,8.41
47304.00,8.4400
47304.98,8.4500
47304.99,8.4600
47310.76,8.57
47316.76,8.59
47321.17,8.67
47322.17,8.66
47322.7,8.65
47326.03,8.6500
47327.72,8.69
47328.72,8.71
47329.72,8.72
47330.72,8.73
47333.74,8.76
47334.17,8.79
47336.17,8.77
47337.14,8.8
47343.16,8.85
47353.16,8.93
47354.15,8.99
47355.16,8.99
47356.13,9
47357.16,9.01
47359.13,9.04
47362.15,9.07
47364.13,9.1
47365.13,9.12
47366.13,9.12
47367.13,9.14
47368.12,9.14
47369.14,9.15
47370.14,9.18
47372.13,9.19
47373.15,9.21
47374.15,9.22
47376.12,9.26
47377.13,9.26
47378.14,9.28
47379.12,9.3
47380.13,9.31
47382.14,9.33
47383.13,9.35
47384.13,9.36
47385.14,9.37
47386.13,9.39
47388.12,9.43
47389.15,9.43
47390.14,9.45
47393.13,9.5
47394.14,9.52
47399.09,9.6
47408.05,9.71
47408.14,9.72
47409.1,9.74
47410.08,9.77
47411.11,9.78
47412.02,9.8
47415.99,9.87
47417.02,9.89
47421.99,9.96
47425.0,10
47426.04,10.02
47427.08,10.01
47428.11,10.05
47429.03,10.06
47431.06,10.1
47435.04,10.17
47436.01,10.2
47437.03,10.21
47437.95,10.22
47439.06,10.23
47444.03,10.33
47447.91,10.41
47451.98,10.44
47453.08,10.47
47454.96,10.53
47457.96,10.59
47459.91,10.58
47461.02,10.61
47461.93,10.63
47463.9,10.65
47465.92,10.69
47529.5,11.7
47572.5,12.35
47599.5,12.59
47639.5,13.07
47642.5,13.19
47654.5,13.22
47668.5,13.42
47694.5,13.64
47789.5,14.69
47810.5,14.91
47818.5,14.95
47840.5,15.13
47851.5,15.22
47872.5,15.38
47889.5,15.49
47895.5,15.58
47936.5,15.88
47960.5,16.01
47973.5,16.04
47996.5,16.09
47997.5,16.22
48012.5,16.28
48017.5,16.2
48044.5,16.46
48070.5,16.47
48075.5,16.55
48103.5,16.66
48114.5,16.7
48184.5,16.96
48190.5,16.94
48218.5,17.04
48231.5,17.12
48251.5,17.08
48265.5,17.1
48269.5,17.11
48272.5,17.09
48318.5,17.34
48336.5,17.27
48356.5,17.31
48396.5,17.39
