time,magnitude
47326.03,7.0300
47327.72,6.66
47328.72,6.67
47329.72,6.69
47330.72,6.71
47333.74,6.74
47334.17,6.8
47336.17,6.78
47337.14,6.82
47343.16,6.91
47353.16,7.02
47354.15,7.1
47355.16,7.11
47356.13,7.12
47357.16,7.13
47359.13,7.17
47362.15,7.22
47364.13,7.25
47365.13,7.27
47366.13,7.29
47367.13,7.31
47368.12,7.33
47369.14,7.36
47370.14,7.4
47372.13,7.39
47373.15,7.41
47374.15,7.45
47376.12,7.47
47377.13,7.5
47378.14,7.53
47379.12,7.53
47380.13,7.55
47382.14,7.59
47383.13,7.61
47384.13,7.63
47385.14,7.66
47386.13,7.68
47388.12,7.72
47389.15,7.74
47390.14,7.76
47393.13,7.83
47394.14,7.84
47399.09,7.96
47408.05,8.13
47408.14,8.13
47409.1,8.16
47410.08,8.18
47411.11,8.21
47412.02,8.23
47415.99,8.3
47417.02,8.32
47421.99,8.45
47425.0,8.52
47426.04,8.55
47427.08,8.57
47428.11,8.59
47429.03,8.6
47431.06,8.64
47435.04,8.75
47436.01,8.77
47437.03,8.8
47437.95,8.83
47439.06,8.84
47444.03,8.96
47447.91,9.05
47451.98,9.1
47453.08,9.14
47454.96,9.2
47457.96,9.25
47459.91,9.27
47461.02,9.3
47461.93,9.3
47463.9,9.34
47465.92,9.39
47529.5,10.5
47572.5,11.15
47599.5,11.59
47639.5,12.07
47642.5,12.09
47654.5,12.27
47668.5,12.52
47694.5,12.88
47789.5,13.84
47810.5,14.17
47840.5,14.38
47851.5,14.45
47872.5,14.52
47889.5,14.61
47895.5,14.77
47936.5,14.94
47996.5,15.23
47997.5,15.22
48012.5,15.3
48017.5,15.34
48044.5,15.52
48070.5,15.67
48075.5,15.61
48103.5,15.71
48114.5,15.71
48144.5,15.83
48184.5,15.88
48190.5,15.87
48218.5,15.94
48231.5,16.12
48251.5,16.1
48265.5,16.09
48269.5,16.12
48272.5,16.03
48318.5,16.34
48336.5,16.31
48396.5,16.37
