time,magnitude
47245.75,6.96
47246.74,6.97
47247.74,6.98
47249.00,7.0500
47249.01,7.0500
47249.02,7.0600
47249.74,7
47250.74,7.01
47251.01,7.0800
47251.02,7.0800
47251.04,7.0700
47251.74,7.02
47252.74,7.03
47258.04,7.1600
47258.06,7.1400
47258.76,7.08
47259.73,7.1
47260.86,7.11
47261.73,7.12
47262.73,7.14
47263.73,7.14
47264.76,7.15
47265.00,7.2200
47265.01,7.2200
47265.78,7.16
47266.73,7.18
47267.73,7.19
47268.01,7.2500
47268.02,7.2500
47269.73,7.21
47271.03,7.2800
47271.05,7.2900
47273.73,7.25
47274.73,7.26
47276.00,7.3200
47276.01,7.3300
47276.02,7.3300
47277.74,7.29
47278.83,7.31
47279.87,7.31
47280.74,7.32
47281.73,7.34
47282.73,7.34
47283.73,7.35
47285.72,7.38
47286.01,7.4300
47286.03,7.4500
47286.71,7.39
47287.71,7.39
47288.71,7.41
47289.00,7.4700
47289.01,7.4800
47289.02,7.4700
47289.71,7.42
47290.72,7.43
47291.73,7.45
47296.72,7.49
47297.72,7.52
47298.74,7.52
47304.00,7.6400
47304.98,7.6500
47304.99,7.6400
47310.76,7.68
47316.76,7.74
47321.17,7.8
47322.17,7.81
47322.7,7.8
47326.01,7.8900
47326.03,7.9000
47327.72,7.87
47328.72,7.87
47329.72,7.88
47330.72,7.9
47333.74,7.94
47334.17,7.98
47336.17,7.96
47337.14,7.97
47343.16,8.06
47353.16,8.15
47354.15,8.21
47355.16,8.22
47356.13,8.23
47357.16,8.25
47359.13,8.28
47362.15,8.32
47364.13,8.34
47365.13,8.36
47366.13,8.38
47367.13,8.39
47368.12,8.41
47369.14,8.42
47370.14,8.45
47372.13,8.46
47373.15,8.48
47374.15,8.5
47376.12,8.54
47377.13,8.56
47378.14,8.57
47379.12,8.58
47380.13,8.6
47382.14,8.64
47383.13,8.65
47384.13,8.67
47385.14,8.68
47386.13,8.7
47388.12,8.74
47389.15,8.75
47390.14,8.77
47393.13,8.82
47394.14,8.85
47399.09,8.94
47408.05,9.1
47408.14,9.1
47409.1,9.12
47410.08,9.15
47411.11,9.17
47412.02,9.19
47415.99,9.27
47417.02,9.3
47421.99,9.39
47425.0,9.45
47426.04,9.47
47427.08,9.48
47428.11,9.51
47429.03,9.52
47431.06,9.57
47435.04,9.67
47436.01,9.69
47437.03,9.71
47437.95,9.72
47439.06,9.74
47444.03,9.85
47447.91,9.94
47451.98,10
47453.08,10.03
47454.96,10.08
47457.96,10.13
47459.91,10.16
47461.02,10.18
47461.93,10.21
47463.9,10.25
47465.92,10.27
47529.5,11.48
47572.5,12.21
47599.5,12.64
47639.5,13.1
47642.5,13.13
47654.5,13.32
47668.5,13.5
47694.5,13.8
47789.5,14.72
47810.5,15.01
47818.5,15.07
47840.5,15.16
47851.5,15.27
47872.5,15.4
47889.5,15.46
47895.5,15.61
47936.5,15.73
47960.5,15.88
47973.5,16.01
47996.5,16.06
47997.5,16.07
48012.5,16.12
48017.5,16.15
48044.5,16.33
48070.5,16.43
48075.5,16.38
48103.5,16.48
48114.5,16.52
48144.5,16.63
48184.5,16.67
48190.5,16.64
48218.5,16.73
48231.5,16.93
48265.5,16.91
48269.5,16.89
48272.5,16.89
48318.5,17.14
48336.5,17.07
48396.5,17.21
48443.5,17.34
